,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
154,1670077800000,16943.73000000,16953.25000000,16935.33000000,16947.76000000,1501.08280000,1670078699999,25436475.52844510,30531,784.14530000,13288207.74643260,0
155,1670078700000,16947.76000000,16948.09000000,16921.07000000,16947.15000000,1725.96899000,1670079599999,29231253.55795230,33850,815.35023000,13809436.05366250,0
156,1670079600000,16947.15000000,16962.96000000,16940.54000000,16955.06000000,1814.46927000,1670080499999,30766430.60588000,33212,1065.57269000,18068426.03479520,0
157,1670080500000,16954.59000000,16983.77000000,16953.72000000,16963.93000000,2130.92409000,1670081399999,36149658.24072140,41898,1151.83808000,19540778.47377040,0
158,1670081400000,16963.41000000,16969.67000000,16956.21000000,16965.81000000,1041.96799000,1670082299999,17673271.26362160,24877,493.50095000,8370620.86119160,0
159,1670082300000,16965.81000000,16966.87000000,16957.95000000,16961.49000000,1122.49487000,1670083199999,19040739.90457130,25131,532.56320000,9033971.62981060,0
160,1670083200000,16961.04000000,16963.32000000,16957.00000000,16957.88000000,999.12977000,1670084099999,16944949.10039930,22697,478.74155000,8119485.14295470,0
161,1670084100000,16957.45000000,16967.54000000,16957.00000000,16958.58000000,1092.96567000,1670084999999,18538307.54657400,25243,507.88398000,8614608.58665400,0
162,1670085000000,16958.58000000,16958.58000000,16949.53000000,16953.08000000,1176.56064000,1670085899999,19946384.34930170,25250,522.46563000,8857555.11382580,0
163,1670085900000,16953.08000000,16959.00000000,16945.01000000,16954.60000000,1233.72842000,1670086799999,20915460.32534230,26793,570.49679000,9671925.57087350,0
164,1670086800000,16954.60000000,16956.25000000,16938.88000000,16943.66000000,1948.91846000,1670087699999,33029955.78592250,39324,924.53362000,15669332.36902200,0
165,1670087700000,16943.27000000,16966.00000000,16942.42000000,16961.66000000,1565.62195000,1670088599999,26549251.40381350,29652,826.19094000,14010458.72978580,0
166,1670088600000,16961.33000000,16982.01000000,16955.47000000,16971.41000000,1617.76199000,1670089499999,27455864.94795540,30897,825.33543000,14007086.21951970,0
167,1670089500000,16971.41000000,16974.78000000,16962.50000000,16971.08000000,909.88642000,1670090399999,15440177.72999400,19772,430.18844000,7300108.25120290,0
168,1670090400000,16971.08000000,16977.78000000,16968.02000000,16971.82000000,983.35177000,1670091299999,16690251.23073690,21885,466.37441000,7915863.32407490,0
169,1670091300000,16971.49000000,16976.18000000,16968.48000000,16973.55000000,650.09696000,1670092199999,11034104.69472290,17880,301.67951000,5120467.06918810,0
170,1670092200000,16973.55000000,16983.65000000,16972.28000000,16978.16000000,794.89305000,1670093099999,13495502.99672980,18850,391.49721000,6646860.62499890,0
171,1670093100000,16978.16000000,16979.62000000,16950.52000000,16969.45000000,1100.21122000,1670093999999,18668062.56447010,23991,506.57317000,8595326.27979390,0
172,1670094000000,16969.36000000,16972.93000000,16959.62000000,16960.78000000,736.85110000,1670094899999,12501759.71653930,16570,342.11621000,5804515.14704270,0
173,1670094900000,16960.78000000,16967.96000000,16952.43000000,16954.39000000,932.81764000,1670095799999,15821938.06433370,20380,438.83889000,7443414.02383270,0
174,1670095800000,16954.86000000,16960.99000000,16937.84000000,16947.50000000,1474.78866000,1670096699999,24998797.68410820,30681,692.41037000,11737079.02403950,0
175,1670096700000,16947.50000000,16968.38000000,16943.00000000,16953.40000000,1040.12287000,1670097599999,17637078.24895020,21081,531.69781000,9016081.92079480,0
176,1670097600000,16953.88000000,16958.75000000,16950.00000000,16954.68000000,765.58548000,1670098499999,12979351.18236000,17417,383.35856000,6499406.43011240,0
177,1670098500000,16954.37000000,16959.61000000,16950.55000000,16954.46000000,778.46470000,1670099399999,13198388.71327110,16718,382.69858000,6488547.06194440,0
178,1670099400000,16955.07000000,16955.11000000,16939.20000000,16946.01000000,1033.99808000,1670100299999,17521789.71937670,21397,459.39893000,7784765.96693510,0
179,1670100300000,16945.70000000,16946.21000000,16911.94000000,16934.23000000,1617.81787000,1670101199999,27394772.17919240,30216,792.95509000,13427453.84596300,0
180,1670101200000,16934.16000000,16936.10000000,16875.00000000,16908.62000000,3011.71308000,1670102099999,50915297.26559520,58389,1477.41850000,24977524.28410010,0
181,1670102100000,16908.62000000,16933.81000000,16907.45000000,16925.39000000,1728.18874000,1670102999999,29247709.52383160,33607,771.72708000,13060492.69554620,0
182,1670103000000,16925.39000000,16930.40000000,16899.18000000,16919.47000000,2090.39930000,1670103899999,35364050.08677930,37720,1133.75468000,19180723.42868190,0
183,1670103900000,16919.47000000,16952.12000000,16919.00000000,16947.76000000,1559.84282000,1670104799999,26419853.95933420,29227,749.09921000,12687802.39762690,0
184,1670104800000,16947.76000000,16952.36000000,16922.01000000,16930.88000000,1113.43444000,1670105699999,18863285.06743630,23409,512.87330000,8688994.36783490,0
185,1670105700000,16930.88000000,16939.00000000,16901.67000000,16922.58000000,1796.83714000,1670106599999,30400850.99088310,30733,963.11239000,16295609.55373300,0
186,1670106600000,16922.58000000,16925.00000000,16858.74000000,16882.72000000,4001.48006000,1670107499999,67579406.37253070,78113,1809.59820000,30562227.72626970,0
187,1670107500000,16882.73000000,16910.86000000,16860.25000000,16901.27000000,1153.37502000,1670108399999,19480247.54772500,34275,571.07821000,9645804.14093770,0
188,1670108400000,16901.27000000,16917.01000000,16888.28000000,16900.66000000,1728.62626000,1670109299999,29219728.90014960,41463,857.01728000,14487092.90326890,0
189,1670109300000,16901.29000000,16909.18000000,16883.72000000,16895.21000000,1405.02959000,1670110199999,23745338.93111370,32860,687.66609000,11622300.19258910,0
190,1670110200000,16895.21000000,16911.41000000,16870.69000000,16908.47000000,1606.24238000,1670111099999,27130021.99192990,38469,852.32126000,14396904.21638700,0
191,1670111100000,16907.95000000,16913.97000000,16877.13000000,16885.20000000,1778.87529000,1670111999999,30061315.27957820,31585,928.69882000,15694879.71160000,0
192,1670112000000,16885.20000000,16947.05000000,16878.25000000,16943.80000000,2594.35809000,1670112899999,43891987.12376640,52223,1336.49215000,22610984.16207030,0
193,1670112900000,16944.37000000,16957.62000000,16929.19000000,16937.25000000,2220.62950000,1670113799999,37625560.46944580,49332,1094.96540000,18553836.21646480,0
194,1670113800000,16937.93000000,16967.53000000,16930.93000000,16958.70000000,2340.18609000,1670114699999,39652070.04934770,49060,1243.10441000,21063330.70395570,0
195,1670114700000,16958.70000000,16964.12000000,16945.48000000,16948.14000000,1235.89298000,1670115599999,20953504.07682490,31707,521.37512000,8839472.75266890,0
196,1670115600000,16948.56000000,16952.71000000,16943.08000000,16947.22000000,1398.22327000,1670116499999,23696207.46368190,30752,681.11809000,11543619.31599080,0
197,1670116500000,16947.22000000,17049.45000000,16935.00000000,17005.81000000,4294.99608000,1670117399999,72958283.15449540,82608,2342.44982000,39790453.08676810,0
198,1670117400000,17006.18000000,17018.40000000,16966.66000000,16973.72000000,2062.78783000,1670118299999,35058653.17715360,57618,918.68045000,15613359.98826190,0
199,1670118300000,16973.72000000,16980.30000000,16957.34000000,16967.26000000,1611.08047000,1670119199999,27336929.69962790,40880,822.43082000,13955384.22791490,0
200,1670119200000,16967.26000000,16968.51000000,16945.61000000,16957.65000000,1313.50633000,1670120099999,22271024.44936050,33571,585.92858000,9934826.46904400,0
201,1670120100000,16958.09000000,16984.15000000,16955.86000000,16972.02000000,1546.78931000,1670120999999,26251973.93716680,37058,819.04925000,13900799.76676100,0
202,1670121000000,16971.88000000,16986.85000000,16967.85000000,16977.13000000,1090.17806000,1670121899999,18508133.38551380,32262,557.15701000,9459069.38128540,0
203,1670121900000,16977.13000000,16978.80000000,16964.46000000,16973.96000000,769.99511000,1670122799999,13068444.07404300,24197,381.72775000,6478762.03069370,0
204,1670122800000,16973.70000000,16979.28000000,16968.02000000,16974.52000000,1114.67958000,1670123699999,18920259.48034020,28528,542.23928000,9203895.92259780,0
205,1670123700000,16974.21000000,16976.25000000,16948.00000000,16958.71000000,1503.64081000,1670124599999,25503873.12428660,34513,734.89882000,12465038.89657530,0
206,1670124600000,16958.78000000,16977.88000000,16954.69000000,16963.00000000,1431.81590000,1670125499999,24291986.13017450,33016,733.78888000,12449665.51300940,0
207,1670125500000,16963.29000000,16968.63000000,16952.34000000,16959.64000000,1153.75512000,1670126399999,19565108.52686830,28577,589.49730000,9996899.39476890,0
208,1670126400000,16959.64000000,16975.45000000,16958.70000000,16972.89000000,1322.53241000,1670127299999,22438690.95840530,30064,740.68073000,12566861.89937690,0
209,1670127300000,16972.89000000,16977.81000000,16958.15000000,16965.50000000,1739.09236000,1670128199999,29508449.80416240,36190,867.14293000,14713984.39879350,0
210,1670128200000,16965.50000000,16992.35000000,16965.10000000,16986.11000000,1896.01752000,1670129099999,32194848.48128120,38801,1003.43416000,17038585.04993080,0
211,1670129100000,16986.11000000,17020.90000000,16983.12000000,17007.70000000,2393.32027000,1670129999999,40688308.79706040,49851,1238.34669000,21053461.50868510,0
212,1670130000000,17007.70000000,17068.00000000,17006.62000000,17059.14000000,3867.25231000,1670130899999,65917198.24609230,73761,2019.52038000,34422704.89581690,0
213,1670130900000,17059.14000000,17060.91000000,17020.00000000,17040.62000000,2202.46814000,1670131799999,37518129.32550870,48236,1072.74985000,18273467.90964670,0
214,1670131800000,17040.62000000,17050.25000000,17000.11000000,17009.77000000,2567.43792000,1670132699999,43721605.47354580,51299,1191.83304000,20295490.25358840,0
215,1670132700000,17009.46000000,17024.33000000,17008.15000000,17015.09000000,1225.85093000,1670133599999,20859610.46328880,31351,640.84464000,10905018.43802560,0
216,1670133600000,17015.68000000,17041.55000000,17013.67000000,17028.14000000,1803.70040000,1670134499999,30709042.82847320,38384,942.13995000,16040458.77587590,0
217,1670134500000,17028.56000000,17047.00000000,17019.38000000,17025.61000000,1537.50137000,1670135399999,26186985.98172210,33786,663.89050000,11307865.22807490,0
218,1670135400000,17025.61000000,17033.45000000,17002.90000000,17011.03000000,1717.74586000,1670136299999,29225471.81207040,36990,915.18332000,15571093.84705030,0
219,1670136300000,17011.03000000,17025.62000000,16993.00000000,16999.02000000,1968.93879000,1670137199999,33488974.94000250,37786,870.86718000,14812217.14523090,0
220,1670137200000,16999.02000000,17006.62000000,16994.32000000,17004.34000000,1297.16724000,1670138099999,22051876.42435760,30115,609.04033000,10353885.91009320,0
221,1670138100000,17004.35000000,17016.22000000,17001.38000000,17004.58000000,1773.31791000,1670138999999,30162685.91672860,38180,890.39456000,15145110.87953610,0
222,1670139000000,17004.11000000,17004.58000000,16989.00000000,16999.31000000,1588.86405000,1670139899999,27005579.14822920,34012,736.06994000,12511375.13873680,0
223,1670139900000,16998.90000000,17004.79000000,16991.60000000,16996.39000000,1256.01957000,1670140799999,21350914.68280420,31720,584.97976000,9944291.83935070,0
224,1670140800000,16996.39000000,17000.98000000,16986.25000000,16992.24000000,1298.27454000,1670141699999,22062862.32736560,30819,600.82714000,10210616.38197310,0
225,1670141700000,16992.24000000,17050.00000000,16976.05000000,17015.60000000,3504.04121000,1670142599999,59610540.75990360,74374,1855.37022000,31564638.49108610,0
226,1670142600000,17015.22000000,17031.28000000,17007.94000000,17010.28000000,1481.88225000,1670143499999,25218859.58372340,43748,796.34532000,13552931.34650450,0
227,1670143500000,17010.28000000,17026.87000000,17008.26000000,17012.10000000,1124.21001000,1670144399999,19129360.73927990,28570,525.77510000,8946755.62886300,0
228,1670144400000,17012.10000000,17023.07000000,17011.03000000,17017.74000000,1103.88616000,1670145299999,18786332.64023550,28939,557.54710000,9488710.15422250,0
229,1670145300000,17017.13000000,17033.77000000,17016.80000000,17020.12000000,1226.02083000,1670146199999,20872156.21852070,33324,625.43230000,10647770.97670250,0
